Name,Sector,Industry,P/E ratio,PEG ratio,EPS,DivYield,PtB,PtS,EBITDA,Shares,Market Cap,52wk range
JCP,Consumer Services,Department/Specialty Retail Stores,N/A,N/A,N/A,0.98,1.27,0.31,N/A,219.27M,4.36B,15.69 - 43.18,"
</"
JDD,Finance,Closed-End Fund - Debt,21.27,N/A,0.583,8.06,1.03,19.08,N/A,19.94M,248.40M,10.65 - 12.93,"
</"
JE,,,7.87,N/A,1.264,12.49,N/A,0.47,167.60M,140.08M,1.39B,7.85 - 14.15,"
</"
JEC,Basic Industries,Military/Government/Technical,16.04,1.11,3,N/A,1.64,0.57,720.30M,130.35M,6.30B,33.61 - 49.41,"
</"
JEF,Finance,Investment Bankers/Brokers/Service,16.34,1.3,1.22,1.51,1.25,1.32,N/A,195.24M,3.90B,11.59 - 20.02,"
</"
JEQ,Finance,Closed-End Fund - Foreign,N/A,N/A,N/A,1.14,N/A,N/A,N/A,N/A,N/A,4.83 - 5.92,"
</"
JFC,Finance,Closed-End Fund - Foreign,N/A,N/A,N/A,0.7,N/A,N/A,N/A,N/A,N/A,11.45 - 14.91,"
</"
JFR,Finance,Closed-End Fund - Equity,N/A,N/A,N/A,7.43,N/A,N/A,N/A,N/A,N/A,10.93 - 12.94,"
</"
JGG,,,N/A,N/A,N/A,8.07,N/A,N/A,N/A,N/A,N/A,13.68 - 14.94,"
</"
JGT,,,N/A,N/A,N/A,9.11,N/A,N/A,N/A,N/A,N/A,11.98 - 13.77,"
</"
JGV,,,N/A,N/A,N/A,8.39,N/A,N/A,N/A,N/A,N/A,13.38 - 17.87,"
</"
JHI,Finance,Closed-End Fund - Equity,24.05,N/A,0.944,8.53,1.16,10.16,N/A,8.59M,195.40M,19.53 - 24.95,"
</"
JHP,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,6.84,N/A,N/A,N/A,N/A,N/A,8.08 - 9.50,"
</"
JHS,Finance,Closed-End Fund - Equity,14.9,N/A,1.141,6.47,1.13,13.31,N/A,11.67M,195.80M,14.82 - 17.84,"
</"
JHX,Capital Goods,Building Materials,41.59,N/A,1.28,4.04,377.59,18.48,176.10M,439.55M,23.06B,34.00 - 53.92,"
</"
JKS,Technology,Semiconductors,N/A,N/A,N/A,N/A,0.48,0.22,N/A,22.19M,167.10M,2.00 - 10.20,"
</"
JLA,Finance,Closed-End Fund - Equity,N/A,N/A,N/A,9.15,N/A,N/A,N/A,N/A,N/A,11.18 - 12.91,"
</"
JLL,Finance,Real Estate,19.9,0.95,4.63,0.43,2.08,1.03,413.60M,44.06M,4.19B,61.39 - 92.87,"
</"
JLS,,,N/A,N/A,N/A,7.02,N/A,N/A,N/A,N/A,N/A,22.85 - 30.00,"
</"
JMF,,,N/A,N/A,N/A,6.49,N/A,N/A,N/A,N/A,N/A,15.89 - 19.49,"
</"
JMI,,,N/A,N/A,N/A,3.49,N/A,N/A,N/A,7.50M,147.70M,0.00 - 0.00,"
</"
JMP,Finance,Investment Bankers/Brokers/Service,N/A,0.59,N/A,2.05,1.24,1.57,N/A,22.65M,149.70M,4.85 - 7.88,"
</"
JMT,,,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,22.84 - 30.05,"
</"
JNJ,Consumer Durables,Major Pharmaceuticals,19.16,2.13,3.859,3.25,N/A,3.05,20.54B,2.77B,205.60B,61.71 - 74.80,"
</"
JNPR,Technology,Computer Communications Equipment,63.94,1.23,0.35,N/A,1.62,2.6,543.90M,507.62M,11.33B,14.01 - 25.04,"
</"
JNS,Finance,Investment Managers,16.91,7.61,0.55,2.58,1.2,2.03,253.00M,185.70M,1.74B,6.64 - 10.18,"
</"
JNY,Consumer Non-Durables,Apparel,285.71,2.65,0.042,1.67,0.81,0.24,232.30M,74.40M,904.00M,8.85 - 13.98,"
</"
JOE,Consumer Services,Homebuilding,N/A,N/A,N/A,N/A,3.87,15.88,21.20M,92.27M,2.21B,14.32 - 24.44,"
</"
JOF,Finance,Closed-End Fund - Foreign,N/A,N/A,N/A,1.04,0.94,45.68,N/A,28.34M,219.60M,6.71 - 7.99,"
</"
JOY,,,8.86,1.55,7.133,1.11,2.6,1.18,1.35B,106.00M,6.80B,47.69 - 95.98,"
</"
JPC,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,8.26,N/A,N/A,N/A,N/A,N/A,8.40 - 10.10,"
</"
JPG,,,N/A,N/A,N/A,8.2,N/A,N/A,N/A,N/A,N/A,12.11 - 13.80,"
</"
JPI,,,N/A,N/A,N/A,3.76,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
JPM,Finance,Major Banks,9.05,1.37,5.2,2.55,0.92,1.91,N/A,3.81B,182.20B,30.83 - 47.35,"
</"
JPM-C,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.32 - 26.85,"
</"
JPM-D,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
JPM-I,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.70 - 27.59,"
</"
JPM-J,Finance,Major Banks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.80 - 26.20,"
</"
JPM-K,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.32 - 25.61,"
</"
JPM-O,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.06 - 26.49,"
</"
JPM-P,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.05 - 25.84,"
</"
JPM-S,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.00 - 25.85,"
</"
JPM-W,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.55 - 26.07,"
</"
JPM-X,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.58 - 25.95,"
</"
JPM-Y,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.91 - 25.86,"
</"
JPM.W,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.99 - 14.44,"
</"
JPS,Finance,Closed-End Fund - Debt,9.35,N/A,1.006,7.01,1.03,11.14,N/A,120.40M,1.14B,8.18 - 9.87,"
</"
JPZ,Finance,Closed-End Fund - Equity,N/A,N/A,N/A,8.62,N/A,N/A,N/A,N/A,N/A,11.27 - 12.80,"
</"
JQC,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,8.62,N/A,N/A,N/A,N/A,N/A,8.84 - 10.16,"
</"
JRI,,,N/A,N/A,N/A,7.95,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
JRN,Consumer Services,Newspapers/Magazines,10.48,1.69,0.523,N/A,1.42,0.75,72.40M,50.54M,282.50M,3.94 - 5.85,"
</"
JRO,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,7.71,N/A,N/A,N/A,N/A,N/A,11.35 - 13.31,"
</"
JSD,,,N/A,N/A,N/A,7.9,N/A,N/A,N/A,N/A,N/A,18.36 - 31.86,"
</"
JSN,Finance,Closed-End Fund - Equity,14.49,N/A,0.867,8.89,0.96,43.93,N/A,66.50M,831.20M,11.17 - 12.91,"
</"
JTA,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,7.63,1.03,19.64,N/A,13.85M,159.40M,9.55 - 11.86,"
</"
JTD,,,21.44,N/A,0.722,6.72,1.09,19.39,N/A,14.48M,222.60M,12.69 - 15.67,"
</"
JTP,Finance,Closed-End Fund - Debt,9.25,N/A,0.968,6.7,1.04,11.11,N/A,64.64M,581.80M,7.84 - 9.08,"
</"
JW.A,Consumer Services,Books,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.62 - 51.96,"
</"
JW.B,Consumer Services,Books,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.52 - 51.52,"
</"
JWF,Finance,Major Banks,N/A,N/A,N/A,5.61,N/A,N/A,N/A,N/A,N/A,22.80 - 26.22,"
</"
JWN,Consumer Services,Clothing/Shoe/Accessory Stores,16.8,1.29,3.287,1.96,5.88,0.94,1.67B,200.09M,11.03B,46.27 - 58.44,"
</"
JZC,Finance,Finance: Consumer Services,N/A,N/A,N/A,6.01,N/A,N/A,N/A,N/A,N/A,21.98 - 25.05,"
</"
JZJ,Finance,Finance: Consumer Services,N/A,N/A,N/A,6.02,N/A,N/A,N/A,N/A,N/A,25.29 - 27.93,"
</"
JZK,Finance,Finance: Consumer Services,N/A,N/A,N/A,6.94,N/A,N/A,N/A,N/A,N/A,17.53 - 25.81,"
</"
JZL,Finance,Finance: Consumer Services,N/A,N/A,N/A,5.92,N/A,N/A,N/A,N/A,N/A,25.30 - 27.17,"
</"
JZT,Finance,Finance: Consumer Services,N/A,N/A,N/A,5.72,N/A,N/A,N/A,N/A,N/A,25.09 - 27.19,"
</"
JZV,Finance,Finance: Consumer Services,N/A,N/A,N/A,6.77,N/A,N/A,N/A,N/A,N/A,25.02 - 26.39,"
</"
K,Consumer Non-Durables,Packaged Foods,17.69,2.5,3.307,2.97,8.6,1.54,2.37B,358.41M,21.02B,46.33 - 58.90,"
</"
KAI,Technology,Industrial Machinery/Components,9.27,1.85,2.899,N/A,1.26,0.87,48.20M,11.32M,310.30M,20.50 - 27.95,"
</"
KAMN,,,18.93,1.17,1.92,1.76,2.3,0.61,125.20M,26.55M,961.20M,27.96 - 38.62,"
</"
KAP,,,63.36,N/A,0.399,1.62,3.23,19.32,N/A,26.42M,670.00M,0.00 - 0.00,"
</"
KAR,Consumer Durables,Automotive Aftermarket,35.55,1.93,0.6,0.89,2.02,1.49,457.00M,136.65M,2.96B,14.10 - 21.45,"
</"
KB,Finance,Commercial Banks,8.55,0.59,4.133,N/A,0.62,2.29,N/A,386.35M,13.79B,28.36 - 40.80,"
</"
KBH,Capital Goods,Homebuilding,N/A,52.97,N/A,0.39,3.91,0.94,3.10M,77.21M,1.43B,6.46 - 19.57,"
</"
KBR,Basic Industries,Military/Government/Technical,22.91,2.07,1.363,0.64,1.77,0.58,445.00M,147.55M,4.64B,22.09 - 38.00,"
</"
KBW,Finance,Investment Bankers/Brokers/Service,N/A,N/A,N/A,1.26,1.27,2.11,N/A,30.44M,491.00M,14.47 - 19.27,"
</"
KCC,Finance,Finance: Consumer Services,N/A,N/A,N/A,7.29,N/A,N/A,N/A,N/A,N/A,25.00 - 29.22,"
</"
KCG,Finance,Investment Bankers/Brokers/Service,N/A,3.55,N/A,N/A,0.53,0.96,N/A,176.91M,658.10M,2.24 - 13.55,"
</"
KDN,Capital Goods,Metal Fabrications,855.17,1.49,0.029,45.56,2.41,1.68,89.40M,32.10M,803.50M,19.80 - 39.22,"
</"
KED,Finance,Closed-End Fund - Equity,N/A,4.54,N/A,6.09,N/A,N/A,N/A,N/A,N/A,21.25 - 27.80,"
</"
KEF,Finance,Closed-End Fund - Foreign,N/A,N/A,N/A,11.82,N/A,N/A,N/A,N/A,N/A,8.20 - 10.16,"
</"
KEG,Energy,Oilfield Services/Equipment,37.99,1.8,0.214,N/A,0.99,0.59,455.50M,151.16M,1.24B,5.70 - 18.18,"
</"
KEM,Capital Goods,Electrical Products,N/A,N/A,N/A,N/A,0.83,0.3,39.40M,44.91M,252.40M,3.68 - 10.16,"
</"
KEP,Public Utilities,Electric Utilities: Central,N/A,N/A,N/A,N/A,0.2,0.21,5.51B,623.02M,9.53B,9.27 - 16.39,"
</"
KEX,Consumer Services,Marine Transportation,18.94,1.82,3.73,N/A,2.46,1.87,508.00M,55.91M,3.95B,42.78 - 72.29,"
</"
KEY,Finance,Major Banks,10.56,2.9,0.89,1.91,0.87,2.17,N/A,925.77M,8.77B,6.80 - 9.50,"
</"
KEY-G,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,108.01 - 131.18,"
</"
KF,Finance,Closed-End Fund - Foreign,N/A,N/A,N/A,N/A,0.98,103.84,N/A,9.57M,381.60M,34.58 - 42.30,"
</"
KFH,,,N/A,N/A,N/A,7.35,N/A,N/A,N/A,N/A,N/A,25.82 - 29.59,"
</"
KFI,Industrial Goods,Aerospace/Defense Products & Services,14.22,N/A,1.911,5.18,2.68,9.78,N/A,177.89M,4.84B,0.00 - 0.00,"
</"
KFN,Finance,Finance: Consumer Services,5.75,N/A,1.911,7.83,1.09,3.95,N/A,177.91M,1.96B,7.95 - 11.93,"
</"
KFP,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
KFS,Finance,Property-Casualty Insurers,N/A,N/A,N/A,N/A,0.7,0.36,N/A,13.15M,54.70M,0.45 - 4.48,"
</"
KFY,Technology,Diversified Commercial Services,23.22,1.16,0.74,N/A,1.3,1.09,84.80M,48.60M,838.80M,12.10 - 17.27,"
</"
KGC,Basic Industries,Precious Metals,N/A,1.71,N/A,1.94,0.73,2.26,1.80B,1.14B,9.47B,7.11 - 11.68,"
</"
KHI,Consumer Services,Miscellaneous,N/A,N/A,N/A,7.81,N/A,N/A,N/A,N/A,N/A,9.13 - 11.02,"
</"
KID,Consumer Durables,Miscellaneous manufacturing industries,N/A,N/A,N/A,N/A,0.89,0.15,3.10M,21.81M,34.90M,0.95 - 3.72,"
</"
KIM,Consumer Services,Real Estate Investment Trusts,58.51,4.23,0.355,3.76,1.67,8.85,579.80M,407.60M,8.58B,17.16 - 21.16,"
</"
KIM-H,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26.07 - 29.92,"
</"
KIM-I,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
KIM-J,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
KIM-K,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
KKD,Consumer Non-Durables,Food Chains,5.73,1,2.27,N/A,3.52,2.02,44.20M,65.22M,846.60M,5.86 - 13.19,"
</"
KKR,Finance,Investment Managers,8.13,0.15,2.075,4.98,2.21,0.47,N/A,243.68M,4.26B,11.03 - 17.49,"
</"
KMB,Consumer Durables,Containers/Packaging,20.26,1.6,4.418,3.31,6.59,1.65,3.98B,389.30M,35.04B,70.94 - 89.60,"
</"
KMF,,,N/A,N/A,N/A,5.4,N/A,N/A,N/A,N/A,N/A,24.09 - 32.48,"
</"
KMG,Basic Materials,Independent Oil & Gas,15.77,0.89,1.24,0.61,2,0.84,32.30M,11.50M,225.70M,0.00 - 0.00,"
</"
KMI,Public Utilities,Oil & Gas Production,38.9,1.88,0.963,3.74,2.75,3.86,3.94B,1.03B,38.48B,30.51 - 40.25,"
</"
KMI.W,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
KMM,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,8.18,N/A,N/A,N/A,N/A,N/A,9.57 - 11.40,"
</"
KMP,Public Utilities,Natural Gas Distribution,N/A,3.03,N/A,5.6,2.89,3.79,3.40B,368.00M,32.72B,74.15 - 90.60,"
</"
KMPR,,,14.84,3.75,2.244,2.88,0.88,0.78,301.00M,58.34M,1.96B,27.77 - 33.36,"
</"
KMR,Energy,Natural Gas Distribution,N/A,2.99,N/A,N/A,2.73,N/A,N/A,113.28M,9.34B,68.00 - 84.21,"
</"
KMT,Capital Goods,Industrial Machinery/Components,13.3,1.59,3.072,1.52,1.89,1.21,474.60M,79.71M,3.31B,30.65 - 47.82,"
</"
KMX,Consumer Durables,Automotive Aftermarket,21.66,1.77,1.82,N/A,2.98,0.83,806.50M,228.18M,8.96B,24.83 - 40.11,"
</"
KND,Health Care,Hospital/Nursing Management,N/A,0.73,N/A,N/A,0.43,0.09,394.70M,53.28M,579.70M,7.60 - 13.61,"
</"
KNL,Consumer Durables,Office Equipment/Supplies/Services,15.66,1.71,1.059,2.65,4.1,0.9,98.10M,46.77M,793.20M,11.96 - 17.52,"
</"
KNM,Technology,Computer Software: Prepackaged Software,12.42,N/A,1.696,N/A,1.06,0.92,548.20M,138.60M,2.92B,19.35 - 29.74,"
</"
KNX,Transportation,Trucking Freight/Courier Services,19.94,1.28,0.8,4.64,2.59,1.36,192.40M,79.74M,1.28B,13.74 - 18.37,"
</"
KO,Consumer Non-Durables,Beverages (Production/Distribution),19.47,2.27,1.913,2.74,5.03,3.51,13.01B,4.49B,168.40B,33.71 - 40.67,"
</"
KOF,Consumer Non-Durables,Beverages (Production/Distribution),33.91,2.29,4.662,1.3,4.27,2.84,2.13B,203.05M,32.44B,96.69 - 162.53,"
</"
KOG,,,36.95,0.42,0.249,N/A,2.43,7.3,237.30M,264.03M,2.44B,6.92 - 10.90,"
</"
KOP,Basic Industries,Forest Products,22.41,0.63,1.81,2.37,6.08,0.51,149.90M,20.58M,854.50M,29.30 - 42.00,"
</"
KORS,,,44.62,1.22,1.258,N/A,14.35,6.56,462.40M,198.92M,11.08B,31.75 - 60.00,"
</"
KOS,,,N/A,N/A,N/A,N/A,4.95,7.17,269.60M,388.97M,4.87B,8.19 - 15.13,"
</"
KR,Consumer Services,Food Chains,21.03,1.15,1.317,1.79,3.79,0.15,4.17B,518.43M,14.46B,20.98 - 28.00,"
</"
KRA,Basic Industries,Major Chemicals,N/A,4.6,N/A,N/A,1.59,0.59,87.50M,32.27M,875.20M,17.61 - 31.09,"
</"
KRC,Consumer Services,Real Estate Investment Trusts,13.91,2.18,3.587,2.81,1.86,9.19,242.40M,74.59M,3.74B,42.15 - 50.34,"
</"
KRC-G,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
KRC-H,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
KRG,Consumer Services,Real Estate Investment Trusts,N/A,4.3,N/A,3.97,1.22,4.4,67.30M,77.73M,479.60M,3.81 - 6.06,"
</"
KRG-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.50 - 26.74,"
</"
KRJ,Finance,Finance: Consumer Services,N/A,N/A,N/A,7.29,N/A,N/A,N/A,N/A,N/A,24.00 - 27.95,"
</"
KRO,Basic Industries,Major Chemicals,6.97,1.87,2.782,3.09,2.01,1.11,547.70M,115.92M,2.23B,12.65 - 25.55,"
</"
KS,Basic Industries,Paper,9.08,1.48,2.643,8.33,1.86,0.95,174.90M,46.80M,1.15B,14.82 - 25.25,"
</"
KSA,Finance,Finance: Consumer Services,N/A,N/A,N/A,7.38,N/A,N/A,N/A,N/A,N/A,26.26 - 29.18,"
</"
KSM,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,6.11,N/A,N/A,N/A,N/A,N/A,13.36 - 16.39,"
</"
KSS,Consumer Services,Department/Specialty Retail Stores,10.56,1.57,4.384,2.77,1.75,0.56,2.82B,230.02M,10.58B,41.35 - 55.25,"
</"
KST,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,7.68,N/A,N/A,N/A,N/A,N/A,12.75 - 15.19,"
</"
KSU,Transportation,Railroads,27.15,1.49,3.43,0.84,3.4,4.58,868.80M,110.05M,10.38B,61.36 - 95.13,"
</"
KSU.P,Transportation,Railroads,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.80 - 27.00,"
</"
KT,Public Utilities,Telecommunications Equipment,3.84,14.07,4.408,N/A,0.37,0.19,4.31B,243.64M,4.15B,11.64 - 18.23,"
</"
KTF,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,5.63,N/A,N/A,N/A,N/A,N/A,12.63 - 15.54,"
</"
KTH,Finance,Finance: Consumer Services,N/A,N/A,N/A,6.57,N/A,N/A,N/A,N/A,N/A,28.75 - 40.48,"
</"
KTN,Finance,Finance: Consumer Services,N/A,N/A,N/A,6.94,N/A,N/A,N/A,N/A,N/A,27.61 - 30.78,"
</"
KTP,Finance,Finance: Consumer Services,N/A,N/A,N/A,8.29,N/A,N/A,N/A,N/A,N/A,17.27 - 26.55,"
</"
KUB,Basic Industries,Metal Fabrications,17.17,1.43,3.33,N/A,1.69,1.05,1.69B,251.18M,14.47B,40.61 - 59.50,"
</"
KW,Finance,Real Estate,N/A,N/A,N/A,1.33,1.89,12.95,N/A,63.77M,955.30M,11.83 - 15.14,"
</"
KWK,Energy,Oil & Gas Production,N/A,N/A,N/A,N/A,N/A,0.62,268.90M,169.85M,441.60M,2.62 - 6.25,"
</"
KWN,,,N/A,N/A,N/A,N/A,3.18,21.77,N/A,63.76M,1.61B,0.00 - 0.00,"
</"
KWR,Basic Industries,Major Chemicals,17.46,1.7,3.274,1.71,2.71,1.06,75.90M,13.08M,752.80M,35.82 - 59.77,"
</"
KYE,Finance,Closed-End Fund - Equity,N/A,N/A,N/A,6.85,N/A,N/A,N/A,N/A,N/A,23.32 - 29.43,"
</"
KYN,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,6.39,N/A,N/A,N/A,N/A,N/A,27.25 - 33.44,"
</"
KYN-D,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.15 - 25.74,"
</"
KYN-E,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
KYO,Technology,Semiconductors,21.92,2.49,4.015,N/A,0.85,1.06,1.63B,183.45M,16.27B,77.39 - 98.54,"
</"
L,Finance,Property-Casualty Insurers,19.7,N/A,2.201,0.58,0.86,1.19,3.67B,393.60M,17.35B,37.58 - 43.73,"
</"
LAD,Consumer Durables,Automotive Aftermarket,14.36,0.93,3.014,1.09,2.7,0.34,161.10M,25.54M,1.12B,21.45 - 43.47,"
</"
LAS,Consumer Durables,Automotive Aftermarket,56.43,N/A,0.028,N/A,0.35,0.09,23.40M,29.49M,46.00M,0.75 - 5.09,"
</"
LAZ,Finance,Investment Managers,46.82,2.15,0.74,2.89,5.57,2.19,N/A,113.74M,4.06B,22.21 - 35.64,"
</"
LBF,Finance,Closed-End Fund - Foreign,N/A,N/A,N/A,5.69,N/A,N/A,N/A,N/A,N/A,7.74 - 9.27,"
</"
LCC,Transportation,Air Freight/Delivery Services,4.36,0.07,3.275,N/A,2.94,0.17,1.13B,162.46M,2.29B,6.78 - 15.64,"
</"
LCM,Finance,Closed-End Fund - Equity,N/A,N/A,N/A,8.45,N/A,N/A,N/A,N/A,N/A,8.61 - 10.13,"
</"
LDF,Finance,Closed-End Fund - Foreign,N/A,N/A,N/A,2.69,1.06,31.2,N/A,8.08M,134.10M,13.30 - 17.10,"
</"
LDK,Technology,Semiconductors,N/A,N/A,N/A,N/A,7.21,0.19,N/A,127.18M,207.30M,0.71 - 6.92,"
</"
LDL,Capital Goods,Auto Parts:O.E.M.,15.13,N/A,1.01,N/A,1.5,0.69,36.40M,16.99M,261.30M,8.79 - 15.97,"
</"
LDP,,,N/A,N/A,N/A,2.64,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
LDR,Capital Goods,Industrial Machinery/Components,31.03,2.01,2.03,3.49,7.5,3.91,47.50M,9.46M,597.00M,47.56 - 66.04,"
</"
LEA,Capital Goods,Auto Parts:O.E.M.,9.79,1.82,5.005,1.14,1.78,0.33,932.70M,96.90M,4.81B,34.81 - 50.51,"
</"
LEE,Consumer Services,Newspapers/Magazines,N/A,1.36,N/A,N/A,N/A,0.09,167.60M,52.28M,66.40M,1.04 - 1.81,"
</"
LEG,Consumer Durables,Home Furnishings,23.48,1.33,1.254,3.87,3,1.12,426.60M,141.29M,4.18B,19.26 - 29.92,"
</"
LEN,Basic Industries,Homebuilding,13.36,4.33,3.11,0.39,2.33,1.94,371.70M,191.99M,7.89B,22.01 - 43.22,"
</"
LEN.B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.63 - 34.87,"
</"
LEO,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,5.96,N/A,N/A,N/A,N/A,N/A,8.52 - 10.26,"
</"
LF,Consumer Non-Durables,Recreational Products/Toys,10.92,0.51,0.825,N/A,2.29,1.11,68.40M,67.64M,612.10M,5.96 - 12.28,"
</"
LFC,Finance,Life Insurance,65.4,3.15,0.765,1.1,2.72,1.53,5.72B,1.84B,92.44B,33.00 - 52.72,"
</"
LFL,Transportation,Air Freight/Delivery Services,53.01,N/A,0.462,0.27,2.28,1.49,830.80M,476.10M,11.64B,21.61 - 29.67,"
</"
LG,Public Utilities,Oil/Gas Transmission,14.31,2.69,2.79,4.18,1.5,0.8,151.90M,22.55M,905.10M,36.53 - 44.04,"
</"
LGF,Consumer Services,Movies/Entertainment,366.4,0.73,0.05,N/A,16.88,1.15,129.10M,134.73M,2.57B,10.40 - 18.51,"
</"
LGI,,,N/A,N/A,N/A,5.53,1.01,23.23,N/A,9.60M,156.80M,12.96 - 16.43,"
</"
LGP,,,126.01,N/A,0.158,1.48,N/A,0.17,31.00M,15.05M,300.20M,0.00 - 0.00,"
</"
LH,Health Care,Medical Specialities,14.75,1.17,6.068,N/A,3.13,1.5,1.28B,94.59M,8.56B,81.56 - 95.30,"
</"
LHO,Consumer Services,Real Estate Investment Trusts,65.31,2.21,0.418,2.6,1.43,2.84,246.30M,86.25M,2.38B,22.33 - 30.46,"
</"
LHO-G,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.60 - 26.24,"
</"
LHO-H,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.79 - 28.73,"
</"
LII,Capital Goods,Industrial Machinery/Components,34.94,1.15,1.646,1.32,5.68,0.86,263.90M,50.30M,2.89B,36.77 - 58.48,"
</"
LL,Consumer Services,RETAIL: Building Materials,40.01,2.43,1.479,N/A,7.22,2.07,77.50M,27.15M,1.60B,18.65 - 60.41,"
</"
LLL,Technology,Radio And Television Broadcasting And Communications Equipment,9.11,N/A,8.338,2.63,1.29,0.54,1.58B,92.99M,6.99B,66.46 - 79.80,"
</"
LLY,Consumer Durables,Major Pharmaceuticals,14.67,N/A,3.659,3.65,3.74,2.65,6.22B,1.11B,60.37B,38.30 - 54.87,"
</"
LM,Finance,Investment Managers,21.93,N/A,1.261,1.48,0.67,1.43,396.50M,131.73M,3.53B,22.36 - 29.49,"
</"
LMT,Capital Goods,Military/Government/Technical,10.39,1.97,8.36,4.78,717.93,0.59,5.42B,322.70M,28.15B,80.14 - 96.52,"
</"
LNC,Finance,Life Insurance,17.11,0.78,1.694,1.24,0.52,0.72,1.80B,275.02M,8.11B,19.04 - 29.60,"
</"
LNC.W,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.70 - 20.41,"
</"
LND,Closed-End Investment Bond Funds,,N/A,N/A,N/A,N/A,1.08,4.28,N/A,58.42M,295.00M,0.00 - 0.00,"
</"
LNKD,,,798.65,2.82,0.155,N/A,16,15.9,104.10M,107.45M,13.30B,74.32 - 127.45,"
</"
LNN,Capital Goods,Industrial Machinery/Components,21.65,1.61,4.297,0.44,3.66,2.06,95.20M,12.85M,1.20B,52.68 - 94.90,"
</"
LNT,Public Utilities,Power Generation,16.46,3.33,2.785,3.97,1.63,1.43,883.10M,110.99M,5.13B,42.00 - 47.65,"
</"
LO,Consumer Non-Durables,Farming/Seeds/Milling,14.03,1.65,2.784,5.29,N/A,3.33,2.07B,388.34M,15.35B,36.57 - 47.02,"
</"
LOCK,,,125.07,1.39,0.075,N/A,N/A,3.23,20.00M,86.34M,839.20M,0.00 - 0.00,"
</"
LOR,,,N/A,N/A,N/A,5.88,N/A,N/A,N/A,N/A,N/A,10.40 - 14.04,"
</"
LOW,Consumer Services,RETAIL: Building Materials,22.92,1.4,1.666,1.62,3.01,0.84,5.30B,1.12B,43.37B,24.76 - 39.26,"
</"
