Name,Sector,Industry,P/E ratio,PEG ratio,EPS,DivYield,PtB,PtS,EBITDA,Shares,Market Cap,52wk range
MAGS,Consumer Durables,Telecommunications Equipment,10.43,N/A,0.421,N/A,1.28,0.79,6.40M,16.05M,68.20M,3.06 - 6.46,"
</"
MAKO,Health Care,Industrial Specialties,N/A,N/A,N/A,N/A,5.27,4.67,N/A,42.46M,477.30M,10.35 - 45.15,"
</"
MANH,Technology,Computer Software: Prepackaged Software,26.76,2.18,2.56,N/A,8.32,3.57,85.70M,19.62M,1.35B,40.98 - 73.73,"
</"
MANT,Consumer Services,Other Consumer Services,8.64,1.22,2.856,3.4,0.8,0.35,260.10M,37.00M,931.70M,19.74 - 37.16,"
</"
MAPP,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,14.81,241.39,N/A,35.29M,876.20M,11.11 - 24.83,"
</"
MARK,,,N/A,N/A,N/A,N/A,2.12,7.52,N/A,7.13M,9.70M,0.80 - 7.51,"
</"
MARPS,Energy,Oil & Gas Production,8.83,N/A,1.69,10.79,27.64,8.94,N/A,2.00M,28.70M,11.72 - 29.49,"
</"
MASC,Capital Goods,Industrial Specialties,4.11,3.11,2.402,N/A,1.08,0.79,13.70M,10.19M,101.50M,7.44 - 10.29,"
</"
MASI,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,19.54,1.2,1.039,4.93,3.73,2.45,105.80M,57.24M,1.16B,18.20 - 25.35,"
</"
MAT,Consumer Non-Durables,Recreational Products/Toys,15.61,1.59,2.411,3.3,4.44,2.04,1.35B,343.13M,13.13B,30.15 - 38.48,"
</"
MATR,Consumer Durables,Home Health Care,N/A,N/A,N/A,N/A,8.77,2.26,N/A,17.08M,77.20M,3.71 - 9.50,"
</"
MATW,Capital Goods,Metal Fabrications,17.49,1.18,1.873,1.16,1.89,0.99,120.10M,27.50M,895.60M,27.42 - 34.36,"
</"
MAXY,Health Care,Biotechnology: Commercial Physical & Biological Resarch,3.4,N/A,0.72,146.94,0.82,2.27,19.30M,27.80M,69.50M,2.35 - 6.33,"
</"
MAYS,Consumer Services,Building operators,31.99,N/A,0.694,N/A,1.04,2.67,5.20M,2.01M,44.70M,13.30 - 28.57,"
</"
MBFI,Finance,Savings Institutions,13.98,2.59,1.6,0.58,0.96,2.94,N/A,54.41M,1.24B,17.00 - 22.49,"
</"
MBLX,Basic Industries,Containers/Packaging,15.46,N/A,0.097,N/A,0.92,20.81,N/A,34.31M,49.40M,1.07 - 3.47,"
</"
MBND,Public Utilities,Telecommunications Equipment,38.68,3.42,0.053,N/A,1.09,0.15,13.20M,21.64M,46.10M,1.37 - 3.73,"
</"
MBRG,Finance,Major Banks,21.01,1.92,0.88,1.08,1.16,1.87,N/A,7.05M,131.20M,14.90 - 19.00,"
</"
MBTF,Finance,Major Banks,7.02,N/A,0.52,N/A,0.74,1.4,N/A,17.01M,61.90M,1.26 - 3.70,"
</"
MBVT,Finance,Major Banks,11.7,2.42,2.42,3.95,1.5,2.94,N/A,6.28M,178.30M,25.07 - 30.48,"
</"
MBWM,Finance,Major Banks,12.69,2.47,1.3,0.55,0.98,2.49,N/A,8.71M,143.30M,11.83 - 18.69,"
</"
MCBC,Finance,Major Banks,8.22,4.65,0.566,N/A,1.65,1.8,N/A,27.07M,118.30M,2.47 - 4.70,"
</"
MCBI,Finance,Major Banks,16.26,2.29,0.62,N/A,1.04,2.97,N/A,18.31M,189.30M,6.98 - 11.82,"
</"
MCBK,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
MCEP,,,20.34,3.39,1.102,6.4,7.78,7.13,33.50M,17.93M,401.70M,17.40 - 25.18,"
</"
MCGC,Finance,Closed-End Fund - Debt,N/A,1.8,N/A,12.47,0.89,5,50.80M,72.80M,339.24M,3.89 - 5.36,"
</"
MCHP,Technology,Semiconductors,31.83,2.19,1.051,4.19,3.31,4.64,459.20M,194.61M,6.72B,28.92 - 38.88,"
</"
MCHX,Miscellaneous,Business Services,N/A,0.78,N/A,6.18,0.77,0.89,4.00M,34.10M,130.60M,2.99 - 5.18,"
</"
MCOX,Consumer Non-Durables,Apparel,N/A,N/A,N/A,N/A,1.85,1.04,N/A,57.33M,154.80M,0.46 - 1.46,"
</"
MCRI,Consumer Services,Hotels/Resorts,20.56,2.25,0.504,N/A,1.2,1.04,32.60M,16.14M,170.30M,7.05 - 11.97,"
</"
MCRL,Technology,Semiconductors,29.66,2.31,0.351,1.98,2.6,2.45,41.60M,58.02M,593.00M,8.89 - 12.12,"
</"
MCRS,Technology,EDP Services,21.4,1.26,2.15,N/A,3.13,3.03,261.00M,79.35M,3.65B,39.31 - 58.49,"
</"
MDAS,Technology,Computer Software: Prepackaged Software,97.75,1.54,0.2,N/A,2.63,1.82,193.50M,59.04M,1.15B,10.73 - 19.99,"
</"
MDCA,Technology,Advertising,N/A,N/A,N/A,5.5,N/A,0.39,32.20M,31.81M,411.60M,9.24 - 14.51,"
</"
MDCI,Health Care,Industrial Specialties,N/A,3.56,N/A,N/A,0.51,0.17,14.40M,16.38M,73.40M,2.25 - 6.13,"
</"
MDCO,Consumer Durables,Major Pharmaceuticals,33.13,3.11,0.902,N/A,2.83,2.97,75.90M,52.90M,1.62B,19.37 - 30.78,"
</"
MDH,Consumer Services,Real Estate Investment Trusts,N/A,1.99,N/A,3.01,1.15,0.38,18.20M,10.00M,33.80M,2.27 - 4.10,"
</"
MDIV,,,N/A,N/A,N/A,1.53,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
MDLZ,,,14.86,1.6,1.87,54.6,1.35,0.91,9.00B,1.78B,50.15B,0.00 - 0.00,"
</"
MDRX,Technology,EDP Services,41.34,1.07,0.268,N/A,1.46,1.28,227.20M,170.88M,1.87B,8.84 - 21.66,"
</"
MDSO,Technology,Computer Software: Prepackaged Software,39.02,2.96,1.199,N/A,9.06,5.63,34.90M,24.92M,1.18B,18.14 - 48.06,"
</"
MDVN,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,42.34,25.32,N/A,74.30M,4.20B,43.16 - 113.00,"
</"
MEAD,Capital Goods,Electronic Components,N/A,N/A,N/A,N/A,0.27,0.13,N/A,1.29M,2.20M,1.42 - 4.20,"
</"
MEAS,Capital Goods,Industrial Machinery/Components,17.62,1.21,2.003,N/A,2.09,1.6,58.60M,15.33M,545.50M,27.40 - 36.63,"
</"
MEIL,,,N/A,N/A,N/A,N/A,4.86,2.67,N/A,6.55M,27.50M,0.00 - 0.00,"
</"
MEILW,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
MEILZ,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
MEIP,,,N/A,N/A,N/A,N/A,6.63,N/A,N/A,3.62M,18.50M,0.00 - 0.00,"
</"
MELA,Health Care,Medical/Dental Instruments,N/A,N/A,N/A,N/A,2.98,338.04,N/A,31.58M,54.00M,1.60 - 5.13,"
</"
MELI,Miscellaneous,Business Services,42.26,1.43,2.092,0.49,14.56,10.95,127.90M,44.15M,3.86B,64.18 - 104.50,"
</"
MEMP,,,213.06,21.41,0.085,10.83,1.44,6.19,50.10M,22.31M,403.30M,15.71 - 20.75,"
</"
MEMS,Technology,Semiconductors,N/A,N/A,N/A,N/A,0.94,1.16,5.90M,24.19M,82.50M,1.48 - 5.44,"
</"
MENT,Technology,EDP Services,14.39,0.81,1.19,N/A,1.98,1.79,211.80M,112.50M,1.93B,12.85 - 17.50,"
</"
MEOH,Basic Industries,Major Chemicals,N/A,0.45,N/A,2.02,2.62,1.26,485.70M,94.09M,3.30B,25.56 - 36.52,"
</"
MERC,Basic Industries,Paper,N/A,N/A,N/A,N/A,0.99,0.35,133.00M,55.62M,387.70M,5.05 - 8.80,"
</"
MERU,Technology,Computer Communications Equipment,N/A,N/A,N/A,N/A,6.07,0.6,N/A,18.29M,56.89M,1.42 - 5.43,"
</"
METR,Finance,Major Banks,20.4,1.94,0.77,N/A,0.94,2.07,N/A,14.13M,230.20M,10.00 - 15.80,"
</"
MFI,Finance,Diversified Financial Services,11.73,N/A,0.64,3.2,1.32,2.92,N/A,14.47M,108.50M,6.04 - 9.96,"
</"
MFLR,Finance,Major Banks,16.2,N/A,0.635,2.92,0.94,N/A,N/A,2.06M,21.60M,7.57 - 11.24,"
</"
MFLX,Technology,Electrical Products,13.09,0.55,1.22,N/A,0.86,0.46,83.90M,23.77M,391.90M,15.12 - 29.70,"
</"
MFNC,Finance,Major Banks,5.83,N/A,1.397,0.49,0.73,2.13,N/A,5.56M,47.20M,5.30 - 8.15,"
</"
MFRI,Capital Goods,Pollution Control Equipment,N/A,N/A,N/A,N/A,0.59,0.2,N/A,6.92M,42.40M,4.71 - 8.16,"
</"
MFRM,,,18.77,0.78,1.494,N/A,3.67,1,107.70M,33.77M,953.90M,22.62 - 48.18,"
</"
MFSF,Finance,Major Banks,18.76,8.1,0.692,1.85,0.82,1.88,N/A,6.99M,91.00M,8.60 - 13.00,"
</"
MGAM,Consumer Services,Services-Misc. Amusement & Recreation,17.15,0.83,0.988,N/A,2.93,2.89,73.00M,28.27M,521.10M,9.75 - 17.43,"
</"
MGCD,,,N/A,N/A,N/A,N/A,1.58,0.86,N/A,3.89M,23.90M,0.00 - 0.00,"
</"
MGEE,Energy,Electric Utilities: Central,19.11,4.64,2.741,2.97,2.09,2.26,150.20M,23.12M,1.22B,43.03 - 56.06,"
</"
MGIC,Technology,Computer Software: Prepackaged Software,10.39,0.77,0.44,2.19,1.46,1.38,21.70M,36.55M,169.60M,3.76 - 7.32,"
</"
MGLN,Health Care,Hospital/Nursing Management,9.97,6.01,5.147,N/A,1.43,0.46,206.80M,27.65M,1.43B,40.24 - 56.58,"
</"
MGPI,Consumer Non-Durables,Packaged Foods,3.67,N/A,1.019,1.34,0.78,0.21,3.50M,17.92M,69.00M,2.98 - 6.76,"
</"
MGRC,Technology,Diversified Commercial Services,16.25,1.53,1.839,3.14,2.08,2.13,92.90M,24.81M,741.30M,22.93 - 33.35,"
</"
MGYR,Finance,Savings Institutions,41.36,N/A,0.118,N/A,0.63,1.79,N/A,5.80M,28.70M,3.58 - 5.74,"
</"
MHGC,Consumer Services,Hotels/Resorts,N/A,N/A,N/A,N/A,N/A,0.9,9.60M,31.24M,176.20M,3.73 - 6.76,"
</"
MHLD,Finance,Property-Casualty Insurers,9.97,1.28,1.02,3.24,0.84,0.4,116.80M,72.28M,734.40M,7.84 - 10.64,"
</"
MIDD,Technology,Industrial Machinery/Components,22.33,1.15,6.33,N/A,4.37,2.67,201.20M,18.73M,2.71B,92.24 - 144.71,"
</"
MIND,Technology,Diversified Commercial Services,8.22,0.96,1.804,N/A,1.1,1.67,26.90M,12.77M,193.60M,11.51 - 26.76,"
</"
MINI,Capital Goods,Metal Fabrications,32.21,1.94,0.745,N/A,1.34,2.83,135.00M,44.71M,1.08B,12.60 - 25.09,"
</"
MIPS,Technology,Semiconductors,112.29,N/A,0.07,N/A,3.39,5.17,9.30M,54.11M,426.90M,5.05 - 7.91,"
</"
MITK,,,N/A,N/A,N/A,N/A,6.63,9.91,N/A,26.03M,99.70M,1.90 - 12.97,"
</"
MITL,Technology,Radio And Television Broadcasting And Communications Equipment,4.07,0.29,0.891,N/A,2.06,0.33,79.80M,53.65M,194.20M,2.41 - 5.08,"
</"
MKSI,Capital Goods,Industrial Machinery/Components,30.89,N/A,0.9,2.23,1.45,2.28,94.70M,52.72M,1.50B,22.45 - 32.72,"
</"
MKTAY,Technology,Industrial Machinery/Components,16.67,N/A,2.916,N/A,1.65,1.77,662.90M,135.75M,6.12B,31.77 - 48.70,"
</"
MKTG,Technology,Computer Software: Prepackaged Software,56.52,1.72,0.135,N/A,2.41,2.4,18.80M,48.78M,372.20M,5.47 - 12.97,"
</"
MKTX,Finance,Investment Bankers/Brokers/Service,23.78,1.56,1.59,1.16,5.69,6.96,94.50M,36.50M,1.40B,26.14 - 42.76,"
</"
MLAB,Capital Goods,Industrial Machinery/Components,21.4,N/A,2.429,1.02,3.61,4.07,16.50M,3.36M,175.30M,38.64 - 59.11,"
</"
MLHR,Consumer Durables,Office Equipment/Supplies/Services,26.25,8.91,0.941,0.91,5.05,0.84,150.70M,58.36M,1.45B,16.03 - 24.98,"
</"
MLNK,Miscellaneous,Business Services,N/A,N/A,N/A,N/A,0.8,0.17,N/A,43.59M,123.80M,2.10 - 6.00,"
</"
MLNX,Technology,Semiconductors,20.95,0.24,2.54,N/A,3.6,4.51,142.20M,42.45M,2.30B,35.18 - 120.05,"
</"
MLVF,Finance,Banks,36.69,N/A,0.308,N/A,1.14,3.63,N/A,6.31M,73.20M,7.52 - 11.73,"
</"
MMLP,Energy,Oil Refining/Marketing,8.97,8.35,3.88,6.59,1.99,0.59,101.40M,23.11M,808.10M,29.46 - 36.72,"
</"
MMSI,Health Care,Medical/Dental Instruments,24.64,1.39,0.563,N/A,1.54,1.54,58.30M,42.43M,591.90M,11.51 - 15.37,"
</"
MMUS,Technology,Computer Software: Prepackaged Software,N/A,N/A,N/A,N/A,1.4,1.06,N/A,4.90M,20.00M,2.99 - 4.90,"
</"
MMYT,Consumer Services,Transportation Services,130.94,N/A,0.117,N/A,4.67,2.71,594.00K,37.20M,569.10M,10.77 - 24.70,"
</"
MNDO,Technology,EDP Services,9.68,N/A,0.22,11.27,1.84,1.92,4.50M,18.78M,40.00M,1.64 - 2.83,"
</"
MNGA,,,N/A,N/A,N/A,N/A,2.85,48.78,N/A,20.06M,32.50M,0.00 - 0.00,"
</"
MNGL,,,N/A,N/A,N/A,N/A,20.01,N/A,N/A,10.06M,100.14M,0.00 - 0.00,"
</"
MNKD,Consumer Durables,Major Pharmaceuticals,N/A,0.02,N/A,N/A,N/A,13812.46,N/A,199.75M,477.40M,1.57 - 3.11,"
</"
MNOV,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,1.72,37.6,N/A,17.21M,28.40M,1.29 - 3.95,"
</"
MNRK,Finance,Major Banks,8.53,N/A,1.097,1.7,0.84,0.65,N/A,7.91M,78.60M,8.02 - 10.73,"
</"
MNRKP,Finance,Major Banks,30.77,N/A,1.097,5.78,3.02,2.34,N/A,7.91M,265.00M,26.26 - 33.75,"
</"
MNRO,Consumer Services,Automotive Aftermarket,26.06,1.56,1.39,1.35,3.29,1.65,102.80M,32.23M,1.17B,30.72 - 47.62,"
</"
MNST,Consumer Services,Beverages - Soft Drinks,26.32,1.34,1.82,N/A,9.23,4.11,556.00M,171.37M,8.17B,39.99 - 83.96,"
</"
MNTA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),N/A,N/A,N/A,N/A,1.7,7.9,N/A,50.54M,640.30M,10.05 - 17.09,"
</"
MNTG,Consumer Services,Hotels/Resorts,N/A,N/A,N/A,N/A,5.91,0.23,92.40M,27.68M,110.70M,2.51 - 5.72,"
</"
MNTX,Technology,Industrial Machinery/Components,18.24,0.34,0.533,N/A,2.08,0.64,16.80M,12.23M,128.00M,5.80 - 10.60,"
</"
MOBI,Technology,Computer Software: Prepackaged Software,392,N/A,0.005,N/A,0.69,0.62,1.40M,32.26M,62.90M,1.68 - 5.55,"
</"
MOCO,Capital Goods,Industrial Machinery/Components,30.26,N/A,0.458,3.03,2.32,1.72,6.90M,5.50M,76.80M,13.71 - 20.40,"
</"
MOFG,Finance,Major Banks,12.19,N/A,1.96,1.21,1.17,2.85,N/A,8.48M,204.50M,16.55 - 24.25,"
</"
MOLX,Capital Goods,Electrical Products,17.41,1.46,1.56,3.17,1.89,1.35,616.10M,177.49M,4.87B,21.89 - 29.00,"
</"
MOLXA,Capital Goods,Electrical Products,14.42,N/A,1.56,3.82,1.57,1.11,616.10M,177.47M,4.04B,18.69 - 23.77,"
</"
MORN,Finance,Investment Managers,32.89,2.1,2.058,0.63,4.26,4.94,188.40M,47.13M,3.21B,54.71 - 67.89,"
</"
MOSY,Technology,Semiconductors,14.88,N/A,0.242,N/A,2.02,14.88,N/A,39.92M,143.70M,2.76 - 4.45,"
</"
MOTR,Miscellaneous,Business Services,N/A,N/A,N/A,N/A,0.47,0.17,N/A,46.20M,19.40M,0.36 - 1.85,"
</"
MOVE,Finance,Real Estate,55.8,1.45,0.169,N/A,3.94,1.91,17.90M,39.33M,373.20M,6.92 - 10.06,"
</"
MPAA,Energy,Industrial Machinery/Components,N/A,N/A,N/A,N/A,1.41,0.25,3.80M,14.46M,95.00M,3.96 - 10.10,"
</"
MPAC,Consumer Durables,Containers/Packaging,21.21,N/A,0.33,N/A,0.84,0.39,4.60M,3.21M,22.50M,4.10 - 7.20,"
</"
MPB,Finance,Major Banks,8.76,N/A,1.27,2.25,0.83,1.5,N/A,3.49M,39.00M,8.01 - 11.50,"
</"
MPEL,Consumer Services,Hotels/Resorts,27.65,0.66,0.758,N/A,3.51,2.89,871.40M,548.69M,11.54B,9.13 - 21.17,"
</"
MPET,Energy,Oil & Gas Production,3.04,N/A,0.372,N/A,0.88,5.23,N/A,53.86M,61.40M,0.74 - 1.63,"
</"
MPWR,Technology,Semiconductors,46.45,1.01,0.502,4.29,2.9,3.88,28.30M,35.47M,839.30M,16.06 - 23.65,"
</"
MRCC,,,N/A,15.3,N/A,2.24,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
MRCY,Capital Goods,Electrical Products,N/A,N/A,N/A,N/A,0.68,0.97,13.60M,30.11M,221.90M,7.20 - 14.99,"
</"
MRGE,Technology,EDP Services,N/A,2.9,N/A,N/A,2.7,1.01,45.70M,93.11M,248.60M,2.20 - 6.90,"
</"
MRLN,Finance,Major Banks,24.18,1.29,0.91,1.27,1.61,4.84,N/A,12.77M,284.30M,13.33 - 23.08,"
</"
MRTN,Transportation,Trucking Freight/Courier Services,16.55,1.43,1.23,4.15,1.37,0.71,100.70M,22.11M,457.00M,16.75 - 23.13,"
</"
MRVL,Technology,Semiconductors,15.84,0.96,0.584,1.95,1.06,1.58,461.90M,534.98M,5.09B,6.98 - 16.86,"
</"
MSBF,Finance,Savings Institutions,118.64,N/A,0.059,0.86,0.85,4.07,N/A,4.94M,34.60M,4.26 - 7.34,"
</"
MSCC,Technology,Semiconductors,63.59,0.72,0.329,N/A,2,1.87,223.30M,91.26M,1.93B,16.57 - 22.30,"
</"
MSEX,Public Utilities,Water Supply,22.56,7.86,0.856,3.85,1.68,2.85,37.10M,15.76M,308.50M,17.48 - 20.06,"
</"
MSFG,Finance,Major Banks,11.78,3.54,1.171,0.58,0.87,2.19,N/A,20.31M,284.10M,9.46 - 13.87,"
</"
MSFT,Technology,Computer Software: Prepackaged Software,15.08,1.18,1.82,3.02,3.17,3.15,28.87B,8.37B,233.90B,26.26 - 32.95,"
</"
MSG,Consumer Services,Television Services,38.28,1.66,1.359,N/A,2.89,2.97,283.10M,74.72M,3.93B,29.00 - 52.24,"
</"
MSLI,,,N/A,N/A,N/A,N/A,0.78,2.64,4.00M,30.70M,30.70M,0.90 - 2.41,"
</"
MSON,Capital Goods,Medical Specialities,41.57,N/A,0.185,N/A,3.42,3.17,N/A,7.01M,54.60M,1.60 - 9.13,"
</"
MSPD,Technology,Semiconductors,N/A,8.1,N/A,N/A,2.26,1.28,N/A,39.51M,192.40M,2.31 - 7.28,"
</"
MSTR,Technology,Computer Software: Prepackaged Software,54.49,1.41,1.84,N/A,5.65,0.82,54.70M,4.88M,499.40M,83.76 - 160.00,"
</"
MTEX,Consumer Durables,Specialty Chemicals,N/A,N/A,N/A,N/A,0.84,0.09,N/A,2.65M,15.90M,3.14 - 7.90,"
</"
MTGE,,,5.53,N/A,4.718,13.8,1.03,17.56,N/A,36.26M,959.10M,19.50 - 26.62,"
</"
MTRX,Basic Industries,Engineering & Construction,20.37,1.59,0.701,N/A,1.7,0.47,44.40M,25.91M,374.90M,9.62 - 15.06,"
</"
MTSC,Capital Goods,Industrial Machinery/Components,17.71,2.01,3.21,1.93,3.92,1.65,91.70M,15.69M,881.20M,36.85 - 59.00,"
</"
MTSI,Technology,Computer Peripherals,N/A,0.88,N/A,N/A,3.86,2.55,66.90M,45.41M,763.80M,2.45 - 6.24,"
</"
MTSL,Public Utilities,Telecommunications Equipment,24.21,N/A,0.178,N/A,3.86,1.5,2.50M,4.47M,18.90M,1.22 - 4.50,"
</"
MTSN,Technology,Industrial Machinery/Components,N/A,N/A,N/A,N/A,1.49,0.52,N/A,58.65M,78.00M,0.70 - 3.30,"
</"
MU,Technology,Semiconductors,N/A,N/A,N/A,N/A,1.03,0.97,1.39B,1.02B,8.00B,5.16 - 9.16,"
</"
MVIS,Capital Goods,Industrial Machinery/Components,N/A,N/A,N/A,N/A,5.41,6.5,N/A,25.06M,44.60M,1.11 - 5.36,"
</"
MVISW,Capital Goods,Industrial Machinery/Components,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.03 - 0.45,"
</"
MWIV,Health Care,Medical Specialities,26.55,1.61,4.23,N/A,4,0.69,94.80M,12.80M,1.48B,79.71 - 119.80,"
</"
MXIM,Technology,Semiconductors,25.65,1.53,1.226,2.93,3.56,3.83,794.40M,292.49M,9.26B,23.55 - 32.41,"
</"
MXWL,Energy,Industrial Machinery/Components,27.32,1.11,0.354,N/A,2.2,1.67,18.30M,28.74M,273.90M,5.81 - 21.24,"
</"
MYGN,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,19.75,1.2,1.37,N/A,3.47,4.24,196.60M,81.41M,2.21B,22.02 - 31.80,"
</"
MYL,Consumer Durables,Major Pharmaceuticals,19.78,1.13,1.429,N/A,3.19,1.74,1.77B,407.51M,11.77B,20.21 - 28.60,"
</"
MYRG,Public Utilities,Water Supply,15.7,0.74,1.43,N/A,1.91,0.47,72.20M,20.67M,474.40M,13.94 - 23.50,"
</"
MYRX,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.26 - 3.32,"
</"
NAFC,Consumer Non-Durables,Food Distributors,N/A,0.5,N/A,3.47,0.77,0.05,125.10M,12.27M,257.00M,18.72 - 30.43,"
</"
NAII,Consumer Durables,Specialty Chemicals,11.19,N/A,0.47,N/A,0.91,0.51,9.70M,6.93M,36.30M,4.01 - 11.00,"
</"
NANO,Capital Goods,Industrial Machinery/Components,48.63,7.15,0.321,N/A,1.64,1.85,22.90M,23.40M,376.80M,12.39 - 20.99,"
</"
NASB,Finance,Savings Institutions,9.86,N/A,2.3,N/A,1.04,1.93,N/A,7.87M,176.40M,12.29 - 25.39,"
</"
NATH,Consumer Services,Restaurants,27.51,N/A,1.5,N/A,5.33,2.62,12.80M,4.47M,184.30M,20.12 - 42.52,"
</"
NATI,Technology,Computer Software: Prepackaged Software,36.88,2.63,0.77,1.97,3.79,3.11,163.80M,122.82M,3.70B,23.13 - 28.98,"
</"
NATL,Finance,Property-Casualty Insurers,15.57,1.82,1.959,7.87,1.54,1.23,59.00M,19.53M,613.20M,21.86 - 31.21,"
</"
NATR,Consumer Durables,Major Pharmaceuticals,8.06,N/A,1.789,1.04,2.03,0.62,42.00M,15.76M,232.50M,12.66 - 18.39,"
</"
NAUH,Consumer Services,Other Consumer Services,21.08,0.76,0.185,3.74,1.93,0.79,13.90M,25.58M,97.20M,3.22 - 7.73,"
</"
NAVG,Finance,Property-Casualty Insurers,16.78,2.49,3.231,N/A,0.87,0.9,75.60M,14.04M,764.50M,44.43 - 55.05,"
</"
NAVR,Technology,Retail: Computer Software & Peripheral Equipment,N/A,2.1,N/A,N/A,2,0.17,9.00M,37.29M,79.80M,1.17 - 2.20,"
</"
NBBC,Finance,Major Banks,N/A,2.29,N/A,N/A,0.46,3.02,N/A,15.52M,93.10M,3.74 - 5.85,"
</"
NBIX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),N/A,N/A,N/A,N/A,4.2,14.22,N/A,66.39M,602.80M,6.25 - 9.98,"
</"
NBN,Finance,Major Banks,24.68,N/A,0.378,3.86,0.82,2.95,N/A,10.39M,96.60M,8.00 - 14.29,"
</"
NBTB,Finance,Major Banks,12.8,2.54,1.62,3.86,1.2,2.57,N/A,33.63M,704.53M,18.92 - 23.50,"
</"
NBTF,Finance,Commercial Banks,16.11,N/A,1.13,6.59,0.88,2.26,N/A,3.42M,62.30M,15.97 - 20.75,"
</"
NCBC,Finance,Major Banks,9.5,N/A,0.654,N/A,0.8,1.78,N/A,6.91M,42.90M,2.08 - 6.45,"
</"
NCIT,Technology,EDP Services,N/A,0.71,N/A,N/A,0.64,0.17,17.90M,13.03M,68.80M,3.21 - 8.00,"
</"
NCLH,,,3.41,N/A,7.743,N/A,0.28,0.24,562.20M,21.00M,580.60M,0.00 - 0.00,"
</"
NCMI,Consumer Services,Advertising,40.21,3.51,0.38,5.76,N/A,1.86,214.60M,54.46M,842.00M,12.94 - 16.89,"
</"
NCTY,Miscellaneous,Business Services,N/A,N/A,N/A,N/A,0.35,4.9,N/A,28.78M,82.60M,2.71 - 7.97,"
</"
NDAQ,Finance,Investment Bankers/Brokers/Service,14.32,1,1.978,0.92,0.91,1.46,856.00M,164.94M,4.72B,21.03 - 28.49,"
</"
NDSN,Capital Goods,Industrial Machinery/Components,19.6,1.78,3.45,0.81,6.49,3.09,379.00M,64.31M,4.44B,46.71 - 68.07,"
</"
NECB,Finance,Savings Institutions,N/A,N/A,N/A,1.62,0.64,4.13,N/A,12.31M,67.70M,5.00 - 7.29,"
</"
NEO,,,475,N/A,0.006,N/A,13.97,2.23,4.80M,45.26M,131.70M,0.00 - 0.00,"
</"
NEOG,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,45.14,2.27,1.03,N/A,4.67,5.72,43.60M,23.87M,1.13B,32.77 - 47.99,"
</"
NEON,,Business Software & Services,N/A,2.57,N/A,N/A,17.81,19.63,N/A,33.13M,174.60M,0.03 - 3.98,"
</"
NEPT,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,2.97,6.19,N/A,60.07M,163.40M,1.62 - 5.14,"
</"
NETC,Consumer Services,Television Services,26.21,N/A,0.53,N/A,2.18,1.28,1.06B,342.93M,4.75B,11.14 - 15.00,"
</"
NETE,,,N/A,N/A,N/A,N/A,N/A,5492.59,N/A,766.27M,1.91B,0.00 - 0.00,"
</"
NEWL,Transportation,Marine Transportation,N/A,N/A,N/A,N/A,N/A,0.38,19.40M,19.92M,24.10M,0.31 - 5.23,"
</"
NEWP,Capital Goods,Medical Specialities,9.69,1.76,1.488,N/A,1.38,0.9,87.40M,38.30M,564.60M,10.42 - 19.50,"
</"
NEWS,Finance,Finance: Consumer Services,30.93,1.26,0.461,N/A,1.2,8.57,N/A,49.42M,701.70M,9.05 - 14.81,"
</"
NEWT,Miscellaneous,Business Services,11.79,N/A,0.179,N/A,1.14,0.56,16.20M,35.25M,71.20M,1.14 - 2.18,"
</"
NFBK,Finance,Savings Institutions,38.59,3.3,0.29,0.76,1.49,8.34,N/A,55.14M,622.50M,11.14 - 16.49,"
</"
NFEC,Capital Goods,Metal Fabrications,4.17,N/A,0.224,N/A,0.17,0.45,2.60M,5.38M,5.00M,0.54 - 3.37,"
</"
NFLX,Consumer Services,Consumer Electronics/Video Chains,569.79,7.52,0.29,N/A,12.34,2.54,95.50M,55.59M,9.16B,52.81 - 177.25,"
</"
NFSB,Finance,Savings Institutions,35.13,N/A,0.46,N/A,1.06,3.71,N/A,3.50M,56.50M,12.60 - 17.25,"
</"
NGPC,Finance,Closed-End Fund - Equity,N/A,1.12,N/A,7.83,N/A,N/A,N/A,N/A,N/A,5.87 - 7.98,"
</"
NHTB,Finance,Savings Institutions,10.95,N/A,1.18,4.02,0.68,1.94,N/A,5.90M,76.50M,11.56 - 13.70,"
</"
